tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,won
2004-505,Vina del Mar,Clay,32,A,20040209,24,102856,2,,Gustavo Kuerten,R,190,BRA,27.4140999316,17,1410,6-1 7-6(2),3,R16,93,7,5,81,48,33,18,10,7,8,1
2004-505,Vina del Mar,Clay,32,A,20040209,25,103602,5,,Fernando Gonzalez,R,183,CHI,23.5318275154,36,995,7-6(4) 6-3,3,QF,123,6,3,73,45,33,14,11,2,4,1
2004-505,Vina del Mar,Clay,32,A,20040209,26,103581,8,,Flavio Saretta,R,183,BRA,23.6167008898,45,769,6-3 6-4,3,QF,94,4,2,57,32,24,16,10,2,3,1
2004-505,Vina del Mar,Clay,32,A,20040209,27,103176,,,David Sanchez,R,183,ESP,25.8069815195,50,736,7-5 3-6 6-2,3,QF,137,1,3,91,55,39,12,14,1,6,1
2004-505,Vina del Mar,Clay,32,A,20040209,28,102856,2,,Gustavo Kuerten,R,190,BRA,27.4140999316,17,1410,6-1 2-6 7-6(4),3,QF,105,7,3,96,57,37,16,14,4,10,1
2004-505,Vina del Mar,Clay,32,A,20040209,29,103602,5,,Fernando Gonzalez,R,183,CHI,23.5318275154,36,995,6-2 6-3,3,SF,66,3,0,48,31,26,10,9,0,0,1
2004-505,Vina del Mar,Clay,32,A,20040209,30,102856,2,,Gustavo Kuerten,R,190,BRA,27.4140999316,17,1410,7-6(6) 6-4,3,SF,100,3,1,82,48,36,16,11,0,1,1
2004-505,Vina del Mar,Clay,32,A,20040209,31,103602,5,,Fernando Gonzalez,R,183,CHI,23.5318275154,36,995,7-5 6-4,3,F,101,3,2,83,47,35,14,11,7,10,1
2004-506,Buenos Aires,Clay,32,A,20040216,1,103909,1,,Guillermo Coria,R,175,ARG,22.0917180014,4,3185,6-1 6-2,3,R32,66,5,0,42,27,20,9,7,1,2,1
2004-506,Buenos Aires,Clay,32,A,20040216,2,102644,,WC,Franco Squillari,L,183,ARG,28.4873374401,135,290,6-0 6-1,3,R32,62,5,1,33,19,15,6,6,0,1,1
2004-506,Buenos Aires,Clay,32,A,20040216,3,104338,,WC,Juan Monaco,R,185,ARG,19.8850102669,223,159,7-6(2) 6-1,3,R32,97,1,1,58,30,23,16,9,1,3,1
